char,tex,pos,size,pos_off,pos_add,offset
 ,0,"(0, 0)","(15, 15)","(14, 14)","(0, 0)",20
/,0,"(15, 0)","(15, 15)","(14, 14)","(0, 0)",20
0,0,"(30, 0)","(15, 15)","(14, 14)","(0, 0)",20
1,0,"(45, 0)","(15, 15)","(14, 14)","(0, 0)",20
2,0,"(60, 0)","(15, 15)","(14, 14)","(0, 0)",20
3,0,"(75, 0)","(15, 15)","(14, 14)","(0, 0)",20
4,0,"(90, 0)","(15, 15)","(14, 14)","(0, 0)",20
5,0,"(105, 0)","(15, 15)","(14, 14)","(0, 0)",20
6,0,"(120, 0)","(15, 15)","(14, 14)","(0, 0)",20
7,0,"(135, 0)","(15, 15)","(14, 14)","(0, 0)",20
9,0,"(150, 0)","(15, 15)","(14, 14)","(0, 0)",20
<,0,"(165, 0)","(15, 15)","(14, 14)","(0, 0)",20
>,0,"(180, 0)","(15, 15)","(14, 14)","(0, 0)",20
A,0,"(195, 0)","(15, 15)","(14, 14)","(0, 0)",20
B,0,"(210, 0)","(15, 15)","(14, 14)","(0, 0)",20
C,0,"(225, 0)","(15, 15)","(14, 14)","(0, 0)",20
D,0,"(240, 0)","(15, 15)","(14, 14)","(0, 0)",20
E,0,"(255, 0)","(15, 15)","(14, 14)","(0, 0)",20
F,0,"(270, 0)","(15, 15)","(14, 14)","(0, 0)",20
G,0,"(285, 0)","(15, 15)","(14, 14)","(0, 0)",20
H,0,"(300, 0)","(15, 15)","(14, 14)","(0, 0)",20
I,0,"(315, 0)","(15, 15)","(14, 14)","(0, 0)",20
J,0,"(330, 0)","(15, 15)","(14, 14)","(0, 0)",20
K,0,"(345, 0)","(15, 15)","(14, 14)","(0, 0)",20
L,0,"(360, 0)","(15, 15)","(14, 14)","(0, 0)",20
M,0,"(375, 0)","(15, 15)","(14, 14)","(0, 0)",20
N,0,"(390, 0)","(15, 15)","(14, 14)","(0, 0)",20
O,0,"(405, 0)","(15, 15)","(14, 14)","(0, 0)",20
P,0,"(420, 0)","(15, 15)","(14, 14)","(0, 0)",20
R,0,"(435, 0)","(15, 15)","(14, 14)","(0, 0)",20
S,0,"(450, 0)","(15, 15)","(14, 14)","(0, 0)",20
T,0,"(465, 0)","(15, 15)","(14, 14)","(0, 0)",20
U,0,"(480, 0)","(15, 15)","(14, 14)","(0, 0)",20
V,0,"(495, 0)","(15, 15)","(14, 14)","(0, 0)",20
W,0,"(0, 15)","(15, 15)","(14, 14)","(0, 0)",20
X,0,"(15, 15)","(15, 15)","(14, 14)","(0, 0)",20
Y,0,"(30, 15)","(15, 15)","(14, 14)","(0, 0)",20
Z,0,"(45, 15)","(15, 15)","(14, 14)","(0, 0)",20
_,0,"(60, 15)","(15, 15)","(14, 14)","(0, 0)",20
a,0,"(75, 15)","(15, 15)","(14, 14)","(0, 0)",20
d,0,"(90, 15)","(15, 15)","(14, 14)","(0, 0)",20
e,0,"(105, 15)","(15, 15)","(14, 14)","(0, 0)",20
g,0,"(120, 15)","(15, 15)","(14, 14)","(0, 0)",20
i,0,"(135, 15)","(15, 15)","(14, 14)","(0, 0)",20
l,0,"(150, 15)","(15, 15)","(14, 14)","(0, 0)",20
n,0,"(165, 15)","(15, 15)","(14, 14)","(0, 0)",20
s,0,"(180, 15)","(15, 15)","(14, 14)","(0, 0)",20
v,0,"(195, 15)","(15, 15)","(14, 14)","(0, 0)",20
※,0,"(210, 15)","(15, 15)","(14, 14)","(0, 0)",20
→,0,"(225, 15)","(15, 15)","(14, 14)","(0, 0)",20
　,0,"(240, 15)","(15, 15)","(14, 14)","(0, 0)",20
。,0,"(255, 15)","(15, 15)","(14, 14)","(0, 0)",20
〈,0,"(270, 15)","(15, 15)","(14, 14)","(0, 0)",20
〉,0,"(285, 15)","(15, 15)","(14, 14)","(0, 0)",20
「,0,"(300, 15)","(15, 15)","(14, 14)","(0, 0)",20
」,0,"(315, 15)","(15, 15)","(14, 14)","(0, 0)",20
『,0,"(330, 15)","(15, 15)","(14, 14)","(0, 0)",20
』,0,"(345, 15)","(15, 15)","(14, 14)","(0, 0)",20
【,0,"(360, 15)","(15, 15)","(14, 14)","(0, 0)",20
】,0,"(375, 15)","(15, 15)","(14, 14)","(0, 0)",20
い,0,"(390, 15)","(14, 13)","(14, 14)","(1, 1)",20
え,0,"(404, 15)","(14, 14)","(14, 14)","(0, 1)",20
き,0,"(418, 15)","(14, 15)","(14, 14)","(0, 1)",20
く,0,"(432, 15)","(11, 14)","(14, 14)","(2, 1)",20
ぐ,0,"(443, 15)","(13, 14)","(14, 14)","(2, 1)",20
け,0,"(456, 15)","(14, 14)","(14, 14)","(0, 1)",20
さ,0,"(470, 15)","(14, 15)","(14, 14)","(0, 1)",20
し,0,"(484, 15)","(12, 14)","(14, 14)","(3, 1)",20
す,0,"(496, 15)","(15, 15)","(14, 14)","(0, 1)",20
つ,0,"(0, 30)","(15, 12)","(14, 14)","(0, 3)",20
で,0,"(15, 30)","(15, 13)","(14, 14)","(0, 2)",20
と,0,"(30, 30)","(12, 14)","(14, 14)","(1, 1)",20
ど,0,"(42, 30)","(13, 15)","(14, 14)","(1, 0)",20
に,0,"(55, 30)","(14, 13)","(14, 14)","(1, 2)",20
は,0,"(69, 30)","(15, 14)","(14, 14)","(0, 1)",20
ぶ,0,"(84, 30)","(15, 14)","(14, 14)","(0, 1)",20
べ,0,"(99, 30)","(15, 12)","(14, 14)","(0, 1)",20
め,0,"(114, 30)","(15, 14)","(14, 14)","(0, 1)",20
も,0,"(129, 30)","(14, 14)","(14, 14)","(0, 1)",20
や,0,"(143, 30)","(15, 15)","(14, 14)","(0, 1)",20
ゆ,0,"(158, 30)","(15, 14)","(14, 14)","(0, 1)",20
る,0,"(173, 30)","(14, 14)","(14, 14)","(0, 1)",20
わ,0,"(187, 30)","(15, 14)","(14, 14)","(0, 1)",20
を,0,"(202, 30)","(14, 15)","(14, 14)","(0, 1)",20
イ,0,"(216, 30)","(13, 14)","(14, 14)","(1, 1)",20
ウ,0,"(229, 30)","(14, 14)","(14, 14)","(1, 1)",20
キ,0,"(243, 30)","(14, 15)","(14, 14)","(1, 1)",20
ク,0,"(257, 30)","(14, 14)","(14, 14)","(1, 1)",20
グ,0,"(271, 30)","(15, 15)","(14, 14)","(1, 0)",20
コ,0,"(286, 30)","(14, 12)","(14, 14)","(1, 2)",20
ジ,0,"(300, 30)","(15, 15)","(14, 14)","(0, 0)",20
ス,0,"(315, 30)","(14, 14)","(14, 14)","(0, 1)",20
セ,0,"(329, 30)","(14, 14)","(14, 14)","(1, 1)",20
タ,0,"(343, 30)","(14, 15)","(14, 14)","(1, 1)",20
ダ,0,"(357, 30)","(15, 15)","(14, 14)","(1, 0)",20
ッ,0,"(372, 30)","(13, 12)","(14, 14)","(1, 3)",20
ツ,0,"(385, 30)","(15, 14)","(14, 14)","(0, 1)",20
テ,0,"(400, 30)","(14, 14)","(14, 14)","(0, 1)",20
ト,0,"(414, 30)","(13, 15)","(14, 14)","(2, 1)",20
ド,0,"(427, 30)","(13, 15)","(14, 14)","(2, 1)",20
バ,0,"(440, 30)","(15, 15)","(14, 14)","(0, 0)",20
ペ,0,"(455, 30)","(15, 15)","(14, 14)","(0, 0)",20
ャ,0,"(470, 30)","(13, 13)","(14, 14)","(1, 2)",20
ラ,0,"(483, 30)","(14, 15)","(14, 14)","(1, 1)",20
ル,0,"(497, 30)","(15, 15)","(14, 14)","(0, 1)",20
ロ,0,"(0, 45)","(14, 13)","(14, 14)","(1, 1)",20
ン,0,"(14, 45)","(14, 14)","(14, 14)","(1, 1)",20
・,0,"(28, 45)","(15, 15)","(14, 14)","(0, 0)",20
ー,0,"(43, 45)","(14, 3)","(14, 14)","(1, 6)",20
一,0,"(57, 45)","(15, 15)","(14, 14)","(0, 0)",20
上,0,"(72, 45)","(15, 15)","(14, 14)","(0, 0)",20
下,0,"(87, 45)","(15, 15)","(14, 14)","(0, 0)",20
不,0,"(102, 45)","(15, 15)","(14, 14)","(0, 0)",20
个,0,"(117, 45)","(15, 15)","(14, 14)","(0, 0)",20
