char,tex,pos,size,pos_off,pos_add,offset
 ,0,"(0, 0)","(3, 3)","(5, 18)","(0, 13)",20
?,0,"(247, 13)","(9, 13)","(8, 18)","(0, 3)",20
　,0,"(0, 0)","(3, 3)","(12, 18)","(0, 13)",20
ァ,0,"(73, 51)","(11, 10)","(12, 18)","(1, 6)",20
ア,0,"(227, 26)","(13, 12)","(12, 18)","(0, 4)",20
ィ,0,"(0, 62)","(10, 10)","(12, 18)","(1, 6)",20
イ,0,"(185, 26)","(12, 13)","(12, 18)","(0, 3)",20
ゥ,0,"(180, 64)","(9, 11)","(12, 18)","(2, 5)",20
ウ,0,"(138, 14)","(12, 13)","(12, 18)","(0, 3)",20
ェ,0,"(193, 51)","(11, 9)","(12, 18)","(1, 7)",20
エ,0,"(23, 40)","(13, 11)","(12, 18)","(0, 5)",20
ォ,0,"(95, 55)","(10, 10)","(12, 18)","(1, 6)",20
オ,0,"(221, 13)","(13, 13)","(12, 18)","(0, 3)",20
カ,0,"(68, 13)","(13, 13)","(12, 18)","(0, 3)",20
ガ,0,"(56, 0)","(14, 13)","(12, 18)","(0, 3)",20
キ,0,"(13, 14)","(13, 13)","(12, 18)","(0, 3)",20
ギ,0,"(125, 13)","(13, 13)","(12, 18)","(0, 3)",20
ク,0,"(90, 26)","(12, 13)","(12, 18)","(0, 3)",20
グ,0,"(14, 0)","(14, 14)","(12, 18)","(0, 2)",20
ケ,0,"(191, 13)","(13, 13)","(12, 18)","(0, 3)",20
ゲ,0,"(125, 0)","(14, 13)","(12, 18)","(0, 3)",20
コ,0,"(239, 50)","(12, 11)","(12, 18)","(1, 5)",20
ゴ,0,"(0, 14)","(13, 13)","(12, 18)","(1, 2)",20
サ,0,"(194, 0)","(14, 13)","(12, 18)","(0, 3)",20
ザ,0,"(84, 0)","(14, 13)","(12, 18)","(0, 3)",20
シ,0,"(77, 26)","(13, 12)","(12, 18)","(0, 4)",20
ジ,0,"(178, 13)","(13, 13)","(12, 18)","(0, 3)",20
ス,0,"(240, 26)","(13, 12)","(12, 18)","(0, 4)",20
ズ,0,"(221, 0)","(14, 13)","(12, 18)","(0, 2)",20
セ,0,"(0, 27)","(13, 12)","(12, 18)","(0, 3)",20
ゼ,0,"(235, 0)","(14, 13)","(12, 18)","(0, 3)",20
ソ,0,"(228, 50)","(11, 12)","(12, 18)","(1, 4)",20
ゾ,0,"(112, 0)","(13, 14)","(12, 18)","(1, 2)",20
タ,0,"(42, 13)","(13, 13)","(12, 18)","(0, 3)",20
ダ,0,"(28, 0)","(14, 14)","(12, 18)","(0, 2)",20
チ,0,"(81, 13)","(13, 13)","(12, 18)","(0, 3)",20
ヂ,0,"(98, 0)","(14, 13)","(12, 18)","(0, 3)",20
ッ,0,"(93, 65)","(10, 10)","(12, 18)","(2, 6)",20
ツ,0,"(125, 40)","(12, 12)","(12, 18)","(0, 4)",20
ヅ,0,"(165, 13)","(13, 13)","(12, 18)","(0, 2)",20
テ,0,"(64, 26)","(13, 12)","(12, 18)","(0, 4)",20
デ,0,"(0, 0)","(14, 14)","(12, 18)","(0, 2)",20
ト,0,"(150, 26)","(10, 13)","(12, 18)","(2, 3)",20
ド,0,"(63, 48)","(10, 13)","(12, 18)","(2, 3)",20
ナ,0,"(234, 13)","(13, 13)","(12, 18)","(0, 3)",20
ニ,0,"(23, 51)","(12, 10)","(12, 18)","(0, 5)",20
ヌ,0,"(36, 50)","(12, 12)","(12, 18)","(0, 4)",20
ネ,0,"(55, 13)","(13, 13)","(12, 18)","(0, 3)",20
ノ,0,"(195, 39)","(11, 12)","(12, 18)","(1, 4)",20
ハ,0,"(157, 64)","(13, 11)","(12, 18)","(0, 4)",20
バ,0,"(42, 0)","(14, 13)","(12, 18)","(0, 3)",20
パ,0,"(94, 13)","(13, 13)","(12, 18)","(0, 3)",20
ヒ,0,"(217, 50)","(11, 12)","(12, 18)","(1, 4)",20
ビ,0,"(173, 26)","(12, 13)","(12, 18)","(1, 3)",20
ピ,0,"(13, 27)","(12, 13)","(12, 18)","(1, 3)",20
フ,0,"(37, 38)","(12, 12)","(12, 18)","(1, 4)",20
ブ,0,"(139, 0)","(13, 14)","(12, 18)","(1, 2)",20
プ,0,"(26, 14)","(13, 13)","(12, 18)","(1, 3)",20
ヘ,0,"(64, 38)","(14, 10)","(12, 18)","(0, 5)",20
ベ,0,"(204, 62)","(14, 11)","(12, 18)","(0, 4)",20
ペ,0,"(49, 39)","(14, 11)","(12, 18)","(0, 4)",20
ホ,0,"(180, 0)","(14, 13)","(12, 18)","(0, 3)",20
ボ,0,"(152, 0)","(14, 13)","(12, 18)","(0, 3)",20
ポ,0,"(166, 0)","(14, 13)","(12, 18)","(0, 3)",20
マ,0,"(0, 39)","(13, 11)","(12, 18)","(0, 5)",20
ミ,0,"(239, 38)","(12, 12)","(12, 18)","(1, 4)",20
ム,0,"(160, 26)","(13, 12)","(12, 18)","(0, 4)",20
メ,0,"(52, 26)","(12, 13)","(12, 18)","(0, 3)",20
モ,0,"(160, 38)","(13, 12)","(12, 18)","(0, 4)",20
ャ,0,"(229, 62)","(10, 11)","(12, 18)","(1, 5)",20
